SYMPTOM,RANGE,HPO,ENG_NAME
Consanguinity,,,
Fanconi syndrome,,HP:0001994,Renal Fanconi syndrome
HELLP-syndrome,,HP:0002686,Prenatal maternal abnormality
Hospitalization,,,
"MRI, brain, abnormalities",,HP:0002060,Abnormality of the cerebrum
"MRI, brain, gray matter abnormalities",,HP:0002538,Abnormality of the cerebral cortex
"MRI, brain, white matter abnormalities",,HP:0002500,Abnormality of the cerebral white matter
"VEP [visual evoked potentials], abnormal",,HP:0000649,Abnormality of visual evoked potentials
abdominal fullness,,HP:0031500,Abdominal mass
abnormal in neonatal screening,,HP:0001197,Abnormality of prenatal development or birth
anteverted nostril,,HP:0000463, Anteverted nares
"aorta, coarction",,HP:0001680,Coarctation of aorta
apathia,,HP:0000741,Apathy
"basal ganglia, changes",,HP:0002134,Abnormality of the basal ganglia
"behavior, abnormal or bizarre",,HP:0000708,Behavioral abnormality
"behaviour, autism or autistic-like",,HP:0000729,Autistic behavior
"behaviour, hyperactive, restless",,HP:0000752,Hyperactivity
"behaviour, self-mutilating or destructive",,HP:0000742,Self-mutilation
birthweight,low [small for gestational age],HP:0001518,Small for gestational age
"bleeding tendencies, hemorrhage",,HP:0001892,Abnormal bleeding
"blindness, visual loss, visual impairment",,HP:0000618,Blindness
"blood pressure, diastolic",increased,HP:0005117,Elevated diastolic blood pressure
"blood pressure, systolic",increased,HP:0004421,Elevated systolic blood pressure
bone fractures,,HP:0002659,Increased susceptibility to fractures
bone marrow abnormality,,HP:0005561,Abnormality of bone marrow cell morphology
"brain, cortical or paraventricular cysts",,HP:0007109,Periventricular cysts
"cardiac arrhythmia, dysrhythmia",,HP:0011675,Arrhythmia
cardiac involvement,,,
cerebellar atrophy or hypoplasia,,HP:0001272,Cerebellar atrophy
cerebellar atrophy or hypoplasia,,HP:0012642,Cerebellar agenesis
cerebral calcifications,,HP:0002514,Cerebral calcification
chin,small,HP:0000307,Pointed chin
chin,small,HP:0000331,Short chin
cirrhosis or fibrosis of liver,,HP:0001394,Cirrhosis
cirrhosis or fibrosis of liver,,HP:0001395,Hepatic fibrosis
"clumsiness, coordination defect or unsteadiness",,HP:0002312,Clumsiness
"clumsiness, coordination defect or unsteadiness",,HP:0002370,Poor coordination
"contractures, joints",,HP:0005781,Contractures of the large joints
coronary heart disease,,HP:0001677,Coronary artery disease
"corpus callosum, agnesis/hypoplasia",,HP:0007370,Aplasia/Hypoplasia of the corpus callosum
cortical or cerebral atrophy,,HP:0002120,Cerebral cortical atrophy
death,,,
"decreased muscle volume, atrophy or hypoplasia",,HP:0003202,Skeletal muscle atrophy
"decreased muscle volume, atrophy or hypoplasia",,HP:0009128,Aplasia/Hypoplasia involving the musculature of the extremities
defect of deep tendon reflexes,,HP:0001315,Reduced tendon reflexes
"defect of trunk muscle, diaphragma or hiatus hernia",,HP:0002036,Hiatus hernia
"defect of trunk muscle, diaphragma or hiatus hernia",,HP:0000776,Congenital diaphragmatic hernia
"defect of trunk muscle, diaphragma or hiatus hernia",,HP:0011804,Abnormality of muscle physiology
"defect of walking, running, rising or climbing",,HP:0003551,Difficulty climbing stairs
"defect of walking, running, rising or climbing",,HP:0009046,Difficulty running
"defect of walking, running, rising or climbing",,HP:0002355,Difficulty walking
demyelinisation,,HP:0011096,Peripheral demyelination
dislocated lens [ectopia lentis],,HP:0001083,Ectopia lentis
dysmorphism,,HP:0001999,Abnormal facial shape
dysmorphism,,HP:0002648,Abnormality of calvarial morphology
"ear anomalies [pits, creases]",,HP:0000598,Abnormality of the ear
early death,,,
eczematoid skin rush,,HP:0000976,Eczematoid dermatitis
eczematoid skin rush,,HP:0000988,Skin rash
epicanthus or medial eyelid fold,,HP:0000286,Epicanthus
erythematous skin rash,,HP:0000988,Skin rash
erythematous skin rash,,HP:0030350,Erythematous papule
erythematous skin rash,,HP:0025475,Erythematous macule
erythematous skin rash,,HP:0025474,Erythematous plaque
excessive screaming,,,
exposure to insulin during gestation,,HP:0031437,Pregnancy exposure
exposure to phenylalanine during gestation,,HP:0031437,Pregnancy exposure
eye defect,,HP:0000478,Abnormality of the eye
"eye movements, abnormal",,HP:0000570,Abnormality of saccadic eye movements
facies,asymmetric,HP:0000324,Facial asymmetry
fainting [syncope],,HP:0001279,Syncope
fair [white] hair,,HP:0011364,White hair
fair [white] hair,,HP:0002286,Fair hair
"fatigue, severe or unusual",,HP:0012378,Fatigue
"feeding difficulties, poor feeding",,HP:0011968,Feeding difficulties
"femora, shortened",,HP:0003097,Short femur
flatulence,,HP:0003270,Abdominal distention
forehead,prominent,HP:0011220,Prominent forehead
gallbladder abnormalities,,HP:0005264,Abnormality of the gallbladder
"gallstones, cholelithiasis",,HP:0001081,Cholelithiasis
gastroenteritis,,HP:0004386,Gastrointestinal inflammation
gastrointestinal hemorrhage [bleeding],,HP:0002239,Gastrointestinal hemorrhage
generalized muscle defect,,HP:0011804,Abnormality of muscle physiology
generalized muscle defect,,HP:0003324,Generalized muscle weakness
generalized muscle defect,,HP:0003700,Generalized amyotrophy
"genitalia, ambigous",,HP:0000811,Abnormal external genitalia
"glucose tolerance, impaired",,HP:0040270,Decreased glucose tolerance
growth velocity,decreased [or absent],HP:0001510,Growth delay
growth velocity,increased,HP:0001548,Overgrowth
hair abnormal [thin brittle],,HP:0002299,Brittle hair
"hand movements, abnormal, stereotyped",,HP:0100022,Abnormality of movement
"hearing defect, deafness",,HP:0012714,Severe hearing impairment
hemolysis,,HP:0001878,Hemolytic anemia
hygroma,,HP:0000476,Cystic hygroma
hyperlacrimation,,HP:0009926,Increased lacrimation
"hyperparathyreoidism, secondary",,HP:0000867,Secondary hyperparathyroidism
"hypertonia, spasticity",,HP:0001276,Hypertonia
"hypertonia, spasticity",,HP:0001257,Spasticity
hypoplasia of optic nerve or disk,,HP:0000609,Optic nerve hypoplasia
hypoplasia of optic nerve or disk,,HP:0007766,Optic disc hypoplasia
hypotrophia,,,
impaired visual acuity,,HP:0001141,Severe visual impairment
"infections [local, abscesses]",,HP:0200039,Pustule
infections [severe or recurrent],,HP:0002719,Recurrent infections
infections [severe or recurrent],,HP:0005364,Severe viral infections
infections [urinary tract],,HP:0011277,Abnormality of the urinary system physiology
infections [urinary tract],,HP:0000010,Recurrent urinary tract infections
intermittant neurologic defect,,HP:0012638,Abnormality of nervous system physiology
intermittent muscle defect [episodic],,HP:0011804,Abnormality of muscle physiology
intermittent muscle defect [episodic],,HP:0200072,Episodic quadriplegia
intermittent muscle defect [episodic],,HP:0003752,pisodic flaccid weakness
jitterness,,HP:0012638,Abnormality of nervous system physiology
joint,"hypermobility, dislocation",HP:0001382,Joint hypermobility
joint,"hypermobility, dislocation",HP:0001373,Joint dislocation
kyphoskoliosis,,HP:0002751,Kyphoscoliosis
large hands/feet,,HP:0001176,Large hands
large hands/feet,,HP:0001833,Long foot
large liver,,HP:0002240,Hepatomegaly
large spleen,,HP:0001744,Splenomegaly
"lethargy, drowsiness, malaise or sleep disorder",,HP:0001254,Lethargy
"lethargy, drowsiness, malaise or sleep disorder",,HP:0002329,Drowsiness
"lethargy, drowsiness, malaise or sleep disorder",,HP:0002360,Sleep disturbance
"limb abnormalities, limb deformities",,HP:0002813,Abnormality of limb bone morphology
lipodystrophia,,HP:0009125,Lipodystrophy
liver carcinoma,,HP:0002896,Neoplasm of the liver
"liver involvement [acute, chronic, hepatitis]",,HP:0200119,Acute hepatitis
"liver involvement [acute, chronic, hepatitis]",,HP:0200123,Chronic hepatitis
"liver, fatty",,HP:0001397,Hepatic steatosis
"long, broad, prominent philtrum",,HP:0000289,Broad philtrum
"long, broad, prominent philtrum",,HP:0000343,Long philtrum
"long, broad, prominent philtrum",,HP:0002002,Deep philtrum
"macrocephaly [large calvaria, >2SD for age]",,HP:0000256,Macrocephaly
"macroglossia, [large/protruding tongue]",,HP:0000158,Macroglossia
metabolic decompensation,,HP:0001939,Abnormality of metabolism/homeostasis
